Restaurant_URL,Number_reviews_Unsanitary,last_4_months_Number_reviews_Unsanitary,last_4_months_Number_Of_reviews,last_4_months_AVG_NLP_Ranking_System,AVG_RankingSystem,Total_Number_Of_Reviews,AVG_RankingSystem_improvement,ImprovingNLPrating,Last_4_Months_Percentage_Unsanitary,Last_4_Months_Percentile_Unsanitary,All_Percentage_Unsanitary,All_Percentile_Unsanitary,Cause_For_Concern_Dropping_Health_Standards
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15606293-Reviews-Kassap_Meat_House-Liverpool_Merseyside_England.html,6,0,47,4.21,4.11,541,0.09999999999999964,True,0.0,53.300000000000004,1.11,3.92,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1591024-Reviews-Cafe_Latino-Liverpool_Merseyside_England.html,1,0,23,3.78,4.02,607,-0.23999999999999977,False,0.0,53.300000000000004,0.16,42.480000000000004,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17624816-Reviews-Honest_Burgers_Liverpool-Liverpool_Merseyside_England.html,1,0,16,3.08,4.01,136,-0.9299999999999997,False,0.0,53.300000000000004,0.74,12.42,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17630342-Reviews-Albert_s_Schenke-Liverpool_Merseyside_England.html,1,0,37,4.1,4.13,406,-0.03000000000000025,False,0.0,53.300000000000004,0.25,31.7,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18719875-Reviews-Slim_s-Liverpool_Merseyside_England.html,2,0,7,3.29,4.03,303,-0.7400000000000002,False,0.0,53.300000000000004,0.66,14.05,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19170337-Reviews-Fogo_Brazil_bar_grill-Liverpool_Merseyside_England.html,1,0,65,4.16,4.2,524,-0.040000000000000036,False,0.0,53.300000000000004,0.19,37.91,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1917227-Reviews-Viva_Brazil-Liverpool_Merseyside_England.html,4,0,34,4.02,4.02,200,0.0,False,0.0,53.300000000000004,2.0,1.31,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19330285-Reviews-Smoke_Dough-Liverpool_Merseyside_England.html,2,0,64,4.16,4.06,622,0.10000000000000053,True,0.0,53.300000000000004,0.32,28.43,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19409648-Reviews-Christakis-Liverpool_Merseyside_England.html,1,0,24,4.25,4.25,499,0.0,False,0.0,53.300000000000004,0.2,36.6,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19418223-Reviews-Six_by_Nico-Liverpool_Merseyside_England.html,3,1,26,3.87,3.98,371,-0.10999999999999988,False,3.85,4.1000000000000005,0.81,11.110000000000001,True
