,URL,MaxPossibleScrapedReviews,RestaurantReviewActual,RatedExcellent,RatedVery_good,RatedAverage,RatedPoor,RatedTerrible
158,https://www.tripadvisor.co.uk/ShowUserReviews-g209958-d10536825-r832933498-Sukhothai_Thai_Restaurant_Wirral-Birkenhead_Wirral_Merseyside_England.html,100,50,,,,,
159,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d12827197-r827855105-Aldente_Restaurant_Bar-Liverpool_Merseyside_England.html,741,375,,,,,
160,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2693528-Reviews-Liverpool_One_Bridewell_Bar_And_Restaurant-Liverpool_Merseyside_England.html,342,340,203,82,27,10,8
161,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1853026-Reviews-Salt_House-Liverpool_Merseyside_England.html,0,200,"1,665",674,179,76,51
162,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d15535910-Reviews-Jays_Bistro-Bebington_Wirral_Merseyside_England.html,36,36,34,0,0,1,1
163,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12682893-Reviews-Puffin_Rooms_Liverpool-Liverpool_Merseyside_England.html,262,268,216,20,11,6,5
164,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4092653-Reviews-Free_State_Kitchen-Liverpool_Merseyside_England.html,599,593,374,154,47,13,5
165,https://www.tripadvisor.co.uk/RestaurantSearch-g2549600-oa210-a_geobroaden.true-Bebington_Wirral_Merseyside_England.html,0,0,,,,,
166,https://www.tripadvisor.co.uk/RegistrationController?flow=sign_up_and_save&returnTo=%2FRestaurantSearch-g2549600-oa180-a_geobroaden.true-Bebington_Wirral_Merseyside_England.html&fullscreen=true&flowOrigin=login&hideNavigation=true&isLithium=true,0,0,,,,,
167,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d19507951-Reviews-Muzzys_Breakfast_House-Bebington_Wirral_Merseyside_England.html,35,35,20,5,7,0,3
