,URL,MaxPossibleScrapedReviews,RestaurantReviewActual,RatedExcellent,RatedVery_good,RatedAverage,RatedPoor,RatedTerrible
66,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d10485568-r688875606-Jam_Restaurant-Liverpool_Merseyside_England.html,432,220,,,,,
67,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d8773510-r829266609-The_Bastion_Bar_Restaurant-Liverpool_Merseyside_England.html,912,460,,,,,
68,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4893772-Reviews-OH_ME_OH_MY-Liverpool_Merseyside_England.html,443,441,256,105,42,23,15
69,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d4055821-Reviews-Georgio_s_Fish_Chips-Birkenhead_Wirral_Merseyside_England.html,108,108,78,20,4,3,3
70,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d23397383-Reviews-Brasserie_Loup-Liverpool_Merseyside_England.html,47,47,45,2,0,0,0
71,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10713404-Reviews-Elif-Liverpool_Merseyside_England.html,0,200,"2,952",188,29,18,32
72,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4039757-Reviews-The_Fly_in_the_Loaf-Liverpool_Merseyside_England.html,306,307,174,83,25,6,9
73,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14989275-Reviews-Festival_Food_and_Drink-Liverpool_Merseyside_England.html,575,574,399,52,21,6,6
74,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d5500837-r789995562-The_Smugglers_Cove_Liverpool_Bar_Restaurant-Liverpool_Merseyside_England.html,0,100,,,,,
75,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8507494-Reviews-Rough_Hand_Made-Liverpool_Merseyside_England.html,243,249,211,20,4,2,2
76,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d2163888-Reviews-Oxton_Bar_and_Kitchen-Birkenhead_Wirral_Merseyside_England.html,372,372,215,72,28,29,28
